Título,Autor,Ano de publicação,Número de páginas
Até que nada mais importe,Luciano Subirá,2016,224
Cartas do Diabo a um Jovem Aprendiz,C. S. Lewis,1942,160
A Liturgia do Ordinário,Tish Harrison Warren,2016,192
1984,George Orwell,1949,328
Cristianismo Puro e Simples,C. S. Lewis,1952,224
A Metamorfose,Franz Kafka,1915,96
A Sociedade da Caveira de Cristal,Alexandre Costa,2021,160
Noites Brancas,Fiódor Dostoiévski,1848,96
A Revolução dos Bichos,George Orwell,1945,112
O Peso da Glória,C. S. Lewis,1949,160
